"Reason for Credit Entry","Sub Order No","Order Date","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"DELIVERED","116614722958250112_1","2025-01-31","Goa","FUSKED Money Heist Music Box Hand Cranked Collectable Wooden Engraved Musical Box Bella ciao Theme Music Tune musicbox","MONEY HEIST A-8_BROWN","Free Size","1","169.0","169.0",
"DELIVERED","116620058427683329_1","2025-01-31","Karnataka","la vieen rose brown music box Toys","69UfqNAh","Free Size","1","144.0","144.0",
"DELIVERED","116665551169940800_1","2025-01-31","Rajasthan","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","116693533129338178_1","2025-01-31","Punjab","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","116733106110886400_1","2025-01-31","Chandigarh","You are My Sunshine Music Boxes Gift, Laser Engraved Sunshine Wooden Musical Box Gifts for Birthday/Valentine's Day/Christmas (Normal)","YOU ARE MY SUNSHINE SUN_BROWN","Free Size","1","209.0","209.0",
"DELIVERED","116748622021067458_1","2025-01-31","Uttar Pradesh","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"CANCELLED","116761597631910018_1","2025-01-31","Maharashtra","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","284.0","284.0",
"RTO_COMPLETE","116782049662233920_1","2025-01-31","Tamil Nadu","Wooden Uniq Carved Hand Crank Happy-Birthday-Black Theme Music Box","6CKGxkiA","Free Size","1","237.0","237.0",
"CANCELLED","116818414793813312_1","2025-01-31","Kerala","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"DELIVERED","116837736253648192_1","2025-01-31","Chhattisgarh","Fusked ooden Antique Carved Hand Crank Black La Vie En Rose Theme Music Box","La Vie En Rose MB-Black","Free Size","1","151.0","151.0",
"DELIVERED","116857258423644674_1","2025-01-31","Maharashtra","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"RTO_COMPLETE","116857438443172352_1","2025-01-31","Karnataka","FUSKED Red Feathers Glasses Sun Glasses Stylish and Trendy | Stylish Flame Sunglasses Flame Rimless Sunglasses Rimless Feather Shape Glasses Eyewear for Party - Red_feathers_glasses","1617749754_17","Free Size","1","359.0","359.0",
"DELIVERED","116896633433911874_1","2025-01-31","Kerala","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","237.0","237.0",
"DELIVERED","116899815447921344_1","2025-01-31","Gujarat","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","116907696440279744_1","2025-01-31","West Bengal","Fusked Money Heist Music Box Hand Cranked Collectable Wooden Engraved Musical Box Bella ciao Theme Music Tune musicbox","MH-LA CASA DE PAPEL_BROWN","Free Size","1","161.0","161.0",
"CANCELLED","116908488097164672_1","2025-01-31","West Bengal"," Money Heist Music Box Hand Cranked Collectable Wooden Engraved Musical Box  CiaoTheme Music Tune musicbox","MH_A8_Brown","Free Size","1","161.0","161.0",
"DELIVERED","116917675736853890_1","2025-01-31","Karnataka","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","284.0","284.0",
"DELIVERED","116918878781567552_1","2025-01-31","Andhra Pradesh","Harry Potter Light Wand Toy for Kids Gift with Sunglass Harrypotter Accesssories Cosplay Combo Magic Wand Stick","CSTE_0355_Wands_Harrypotter_light_SG","Free Size","1","829.0","829.0",
"DELIVERED","116927499091309312_1","2025-01-31","Delhi","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","237.0","237.0",
"DELIVERED","116937908090425472_1","2025-01-31","Tamil Nadu","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
"DELIVERED","116947722275418691_1","2025-01-31","Telangana","la vieen rose brown music box Toys","69UfqNAh","Free Size","1","144.0","144.0",
"DELIVERED","116955105818996102_1","2025-01-31","Maharashtra","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","116966927137624193_1","2025-01-31","Delhi","Fusked You are My Sunshine Wood Music Boxes,Laser Engraved Vintage Wooden Sunshine Musical Box,Wooden Classic Music Box Crafts with Hand Crank (Wooden-Black)","YouAreMySunshineMusicBox-Black","Free Size","1","285.0","285.0",
"RTO_COMPLETE","116974182633427072_1","2025-02-01","West Bengal","la vieen rose brown music box Toys","69UfqNAh","Free Size","1","144.0","144.0",
"DELIVERED","117001079467699587_1","2025-02-01","Uttarpradesh","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","117082227434705025_1","2025-02-01","Uttar Pradesh","Dragon Fly Sunglass cool Sunglass, Rimless Frameless Butterfly Sun glasses Unisex Vintage Eyewear(Pink)","SG_ButterFly_LightgreenPink","Free Size","1","299.0","299.0",
"DELIVERED","117094845805351040_1","2025-02-01","Tamil Nadu","FUSKED Wooden Theme Harry Potter Hand Cranked Collectable Engraved Music Box Brown(1 Piece)","v1nepfRR","Free Size","1","249.0","249.0",
